SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Yarra,Yarra,Tarrawarra,8,B,1,1 to 2,Poa annua,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,B,1,1 to 2,Rumex spp.,native,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,B,1,1 to 2,Arctotheca calendula,exotic,5,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,B,1,1 to 2,Ranunculus repens,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,B,1,1 to 2,Monocot grass,Unknown,9,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,B,1,1 to 2,Lysimachia arvensis,exotic,3,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,B,1,1 to 2,Trifolium repens,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Poa annua,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Monocot grass,Unknown,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Cyperus eragrostis,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Hypochaeris radicata,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Arctotheca calendula,exotic,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Solanum nigrum,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Cirsium vulgare,exotic,8,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,C,2,2 to 3,Rumex spp.,native,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Solanum nigrum,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Poa annua,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Monocot grass,Unknown,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Rumex spp.,native,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Arctotheca calendula,exotic,3,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Hypochaeris radicata,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Cirsium vulgare,exotic,3,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Cyperus eragrostis,exotic,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,8,D,3,3 to 4,Dicot,Unknown,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,7,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,7,A,0,0 to 1,Rumex spp.,native,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,7,A,0,0 to 1,Monocot grass,Unknown,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,7,B,1,1 to 2,Monocot grass,Unknown,5,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,W,-1, -1 to 0,Persicaria hydropiper,native,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,W,-1, -1 to 0,Cyperus eragrostis,exotic,5,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,A,0,0 to 1,Persicaria hydropiper,native,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,A,0,0 to 1,Rumex spp.,native,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,A,0,0 to 1,Poa annua,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,B,1,1 to 2,Poa annua,exotic,100+,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,B,1,1 to 2,Cerastium glomeratum s.l.,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,B,1,1 to 2,Cyperus eragrostis,exotic,5,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,B,1,1 to 2,Rumex spp.,native,5,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,C,2,2 to 3,Poa annua,exotic,100+,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,C,2,2 to 3,Cerastium glomeratum s.l.,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,C,2,2 to 3,Rumex spp.,native,6,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,C,2,2 to 3,Cirsium vulgare,exotic,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,6,C,2,2 to 3,Hypochaeris radicata,exotic,7,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,W,-1, -1 to 0,Monocot grass,Unknown,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,W,-1, -1 to 0,Poa annua,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,W,-1, -1 to 0,Acacia dealbata,native,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,W,-1, -1 to 0,Plantago lanceolata,exotic,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,A,0,0 to 1,Acacia dealbata,native,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,A,0,0 to 1,Cirsium vulgare,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,A,0,0 to 1,Hypochaeris radicata,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,A,0,0 to 1,Poa annua,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,B,1,1 to 2,Poa annua,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,B,1,1 to 2,Monocot grass,Unknown,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,B,1,1 to 2,Hypochaeris radicata,exotic,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,C,2,2 to 3,Sonchus spp.,exotic,5,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,C,2,2 to 3,Arctotheca calendula,exotic,5,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,C,2,2 to 3,Poa annua,exotic,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,5,C,2,2 to 3,Holcus lanatus,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,4,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,4,A,0,0 to 1,Sonchus oleraceus,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,4,A,0,0 to 1,Hypochaeris radicata,exotic,2,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,4,A,0,0 to 1,Monocot grass,Unknown,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,4,B,1,1 to 2,Monocot grass,Unknown,10_50,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,4,B,1,1 to 2,Galium aparine,exotic,1,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,3,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,3,A,0,0 to 1,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,3,B,1,1 to 2,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,3,C,2,2 to 3,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,2,W,-1, -1 to 0,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,2,A,0,0 to 1,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,2,B,1,1 to 2,Nil,NA,0,12/07/2018,1,0,
Yarra,Yarra,Tarrawarra,2,C,2,2 to 3,Ranunculus repens,exotic,2,12/07/2018,1,0,
