SYSTEM,WATERWAY,SITE,TRANSECT,METRES,SPECIES,HITS,HEIGHT,DATE,SURVEY,NOTES,SITE_NOTES
Moorabool,Moorabool,Bostock,4,1,Senecio runcinifolius,5,0_1m,26/04/2023,6,"""Senecio (common)"", presumably runcinifolius based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,4,1,Geranium,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Typha,2,0_1m,26/04/2023,6,"(Didn't specify, presumably Typha domingensis based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,4,1,Holcus spp.,8,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Lysimachia arvensis,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Pteridium esculentum,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Oxalis perennans,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Microlaena stipoides var. stipoides,4,0_1m,26/04/2023,6,"just wrote ""microlaena"", presumably this species as it's the only one in the master list",NA
Moorabool,Moorabool,Bostock,4,1,Poa labillardierei var. labillardierei,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Lomandra longifolia,3,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Acaena,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,1,Hypochaeris radicata,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,2,Bare,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,2,Litter,35,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,2,Einadia nutans,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,2,Microlaena stipoides var. stipoides,18,0_1m,26/04/2023,6,"just wrote ""microlaena"", presumably this species as it's the only one in the master list",NA
Moorabool,Moorabool,Bostock,4,2,Cirsium,2,0_1m,26/04/2023,6,"(Didn't specify, presumably cirseum vulgare based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,4,2,Holcus spp.,5,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,2,Hypochaeris radicata,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,2,Rubus anglocandicans,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,4,2,Anthoxanthum,3,0_1m,26/04/2023,6,"(Didn't specify, presumably Anthoxanthum odoratum based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,6,-1,Nasturtium officinale,22,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,-1,Litter,21,0_1m,26/04/2023,6,Substrate for -1m adds to 51; I would guess there was litter/moss/water OVER the rock??,NA
Moorabool,Moorabool,Bostock,6,-1,Rock,28,0_1m,26/04/2023,6,Substrate for -1m adds to 51; I would guess there was litter/moss/water OVER the rock??,NA
Moorabool,Moorabool,Bostock,6,-1,Rubus anglocandicans,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,-1,Cycnogeton procerum,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,-1,Moss,1,0_1m,26/04/2023,6,Substrate for -1m adds to 51; I would guess there was litter/moss/water OVER the rock??,NA
Moorabool,Moorabool,Bostock,6,-1,Water,1,0_1m,26/04/2023,6,Substrate for -1m adds to 51; I would guess there was litter/moss/water OVER the rock??,NA
Moorabool,Moorabool,Bostock,6,0,Geranium,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Acaena,6,0_1m,26/04/2023,6,"(Didn't specify, presumably acaena novae-zelandiae based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,6,0,Litter,18,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Log,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Pteridium esculentum,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Holcus spp.,21,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Lysimachia arvensis,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Bare,19,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Cirsium vulgare,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Lomandra longifolia,12,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Cycnogeton procerum,1,0_1m,26/04/2023,6,"just wrote ""cycno"", presumably this species as it's the only one in the master list",NA
Moorabool,Moorabool,Bostock,6,0,Nasturtium officinale,16,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Rock,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Lachnagrostis filiformis s.l.,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Senecio glomeratus,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Hypochaeris radicata,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,0,Sonchus asper s.l.,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Poa labillardierei var. labillardierei,32,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Microlaena stipoides var. stipoides,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Rubus anglocandicans,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Geranium sp,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Pteridium esculentum,4,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Anthoxanthum,1,0_1m,26/04/2023,6,"(Didn't specify, presumably Anthoxanthum odoratum based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,6,1,Acaena,1,0_1m,26/04/2023,6,"(Didn't specify, presumably acaena novae-zelandiae based on other records this survey at this site)",NA
Moorabool,Moorabool,Bostock,6,1,Litter,38,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Bare,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Rumex brownii,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,1,Cirsium vulgare,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Litter,23,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Holcus spp.,2,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Poa labillardierei var. labillardierei,23,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Lysimachia arvensis,1,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Acaena novae-zelandiae,4,0_1m,26/04/2023,6,NA,NA
Moorabool,Moorabool,Bostock,6,2,Bare,15,0_1m,26/04/2023,6,NA,NA
