SPECIES,GENUS,FAMILY,ORIGIN,LIFEFORM,CLASSIFICATION,INSTREAMVEG?,WPFG,WPFGSOURCE,GROUP,REC_GRP
Salix fragilis,Salix,Salicaceae,exotic,tree,Tree,NO,ATw,KM,Tree,Terrestrial
Salix spp.,Salix,Salicaceae,exotic,tree,Tree,NO,ATw,assumed,Tree,Terrestrial
Schoenoplectus spp.,Schoenoplectus,Cyperaceae,native,sedge/rush,Emergent,YES,NA,NA,Emergent,Emergent
Schoenoplectus pungens,Schoenoplectus,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Emergent,Emergent
Schoenoplectus tabernaemontani,Schoenoplectus,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,assumed,Emergent,Emergent
Schoenus apogon,Schoenus,Cyperaceae,native,sedge/rush,Fringing_low,NO,ATe,KM,Littoral,Riparian
Schoenus fluitans,Schoenus,Cyperaceae,native,sedge/rush,Aquatic,YES,ARf,KM,Aquatic,Aquatic
Selliera radicans,Selliera,Goodeniaceae,native,forb,Fringing_low,NO,ATl,KM,Littoral,Riparian
Senecio biserratus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Senecio campylocarpus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Senecio glomeratus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Senecio hispidulus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Senecio minimus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Senecio quadridentatus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Senecio runcinifolius,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Senecio spp.,Senecio,Asteraceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Setaria gracilis var. gracilis,Setaria,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Setaria parviflora,Setaria,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Setaria spp.,Setaria,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Sisymbrium officinale,Sisymbrium,Brassicaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Solanum lycopersicum,Solanum,Solanaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Solanum nigrum,Solanum,Solanaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Solanum pseudocapsicum,Solanum,Solanaceae,exotic,shrub,Shrub,NO,Tda?,assumed,Shrub,Terrestrial
Sonchus asper s.l.,Sonchus,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Sonchus oleraceus,Sonchus,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Sonchus spp.,Sonchus,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Stellaria angustifolia,Stellaria,Caryophyllaceae,native,forb,Fringing_low,NO,ATe,KM,Littoral,Riparian
Stellaria media,Stellaria,Caryophyllaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Symphyotrichum novi-belgii,Symphyotrichum,Asteraceae,exotic,forb,Fringing_high,NO,Tda,NA,Littoral margin,Terrestrial
Symphyotrichum subulatum,Symphyotrichum,Asteraceae,exotic,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Taraxacum officinale spp. agg.,Taraxacum,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Taraxacum spp.,Taraxicum,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Templetonia stenophylla,Templetonia,Fabaceae,native,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Tetrarrhena juncea,Tetrarrhena,Poaceae,native,grass,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Themeda triandra,Themeda,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Thysanotus patersonii,Thysanotus,Asparagaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Tradescantia fluminensis,Tradescantia,Commelinaceae,exotic,forb,Fringing_high,NO,Tda?,assumed,Littoral margin,Terrestrial
Tradescantia spp.,Tradescantia,Commelinaceae,exotic,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Tribolium obliterum,Tribolium,Poaceae,exotic,grass,NA,NO,NA,NA,Terrestrial,Terrestrial
Tricoryne elatior,Tricoryne,Asphodelaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Trifolium angustifolium var. angustifolium,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Trifolium arvense var. arvense,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Trifolium dubium,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Trifolium glomeratum,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Trifolium repens,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Trifolium repens var. repens,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Trifolium spp.,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Trifolium subterraneum,Trifolium,Fabaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Triglochin striata,Triglochin,Juncaginaceae,native,forb,Fringing_low,NO,ATe,KM,Littoral,Riparian
Typha domingensis,Typha,Typhaceae,native,sedge/rush,Emergent,YES,Se,Casanova 2011,Emergent,Emergent
Typha latifolia,Typha,Typhaceae,exotic,sedge/rush,Emergent,YES,Se,KM,Emergent,Emergent
Typha orientalis,Typha,Typhaceae,exotic,sedge/rush,Emergent,YES,Se,KM,Emergent,Emergent
Typha spp.,Typha,Typhaceae,native,sedge/rush,Emergent,YES,Se,Casanova 2011,Emergent,Emergent
Ulex europaeus,Ulex,Fabaceae,exotic,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Urtica incisa,Urtica,Urticaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Vallisneria australis,Vallisneria,Hydrocharitaceae,native,forb,Aquatic,YES,Sk,KM,Aquatic,Aquatic
Vellereophyton dealbatum,Vellereophyton,Asteraceae,exotic,forb,NA,NO,Tda,KM,Littoral margin,Terrestrial
Verbascum virgatum,Verbascum,Scrophulariaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Verbena bonariensis s.l.,Verbena,Verbenaceae,exotic,forb,Fringing_high,NO,Tdr,Campbell 2014,Littoral margin,Terrestrial
Verbena officinalis s.l.,Verbena,Verbenaceae,exotic,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Verbena spp.,Verbena,Verbenaceae,exotic,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Vesicularia reticulata,Vesicularia,Hypnaceae,native,moss,NA,NO,NA,NA,Unknown,Unknown
Vicia spp.,Vicia,Fabaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Vinca major,Vinca,Apocynaceae,exotic,forb,Terrestrial,NO,Tda?,assumed,Terrestrial,Terrestrial
Vinca spp.,Vinca,Apocynaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Viola hederacea,Viola,Violaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Viola odorata,Viola,Violaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Vittadinia spp.,Vittadinia,Asteraceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Vulpia bromoides,Vulpia,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Vulpia spp.,Vulpia,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Wahlenbergia fluminalis,Wahlenbergia,Campanulaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Wahlenbergia gracilis,Wahlenbergia,Campanulaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Wahlenbergia spp.,Wahlenbergia,Campanulaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Walwhalleya proluta,Walwhalleya,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Xanthium spinosum,Xanthium,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Zantedeschia aethiopica,Zantedeschia,Araceae,exotic,forb,Terrestrial,NO,ATe,KM,Terrestrial,Terrestrial
Log,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Tree Root,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Tree,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Tree Base,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Tree (dead),NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Tree (stump),NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Rock,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Sand,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
Poo,NA,NA,Ground,NA,Ground,NA,NA,NA,Ground,Ground
