SPECIES,GENUS,FAMILY,ORIGIN,LIFEFORM,CLASSIFICATION,INSTREAMVEG?,WPFG,WPFGSOURCE,GROUP,REC_GRP
Bothriochloa macra,Bothriochloa,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Brachypodium distachyon,Brachypodium,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Brassica spp.,Brassica,Brassicaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Brassica nigra,Brassica,Brassicaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Brassicaceae spp.,unknown,Brassicaceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Briza maxima,Briza,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Briza minor,Briza,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Bromus catharticus,Bromus,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Bromus diandrus,Bromus,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Bromus hordeaceus subsp. hordeaceus,Bromus,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Bromus rubens,Bromus,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Bromus spp.,Bromus,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Bursaria spinosa,Bursaria,Pittosporaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Caesia spp.,Caesia,Asphodelaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Callistemon sieberi,Callistemon,Myrtaceae,native,shrub,Shrub,NO,ATw,KM,Shrub,Riparian
Callistemon spp.,Callistemon,Myrtaceae,native,shrub,Shrub,NO,ATw,assumed,Shrub,Riparian
Callistemon wimmerensis,Callistemon,Myrtaceae,native,shrub,Shrub,NO,ATw,assumed,Shrub,Riparian
Callitriche brutia var. brutia,Callitriche,Plantaginaceae,exotic,forb,Aquatic,YES,ARp,KM,Aquatic,Aquatic
Callitriche stagnalis,Callitriche,Plantaginaceae,exotic,forb,Aquatic,YES,Atl,KM,Aquatic,Aquatic
Calocephalus citreus,Calocephalus,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Calotis scapigera,Calotis,Asteraceae,native,forb,Fringing_high,NO,Tdr,Campbell 2014,Littoral margin,Terrestrial
Calystegia sepium,Calystegia,Convolvulaceae,native,climber,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Calystegia spp.,Calystegia,Convolvulaceae,exotic,climber,Terrestrial,NO,Unknown,NA,Terrestrial,Terrestrial
Cardamine moirensis,Cardamine,Brassicaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Cardamine spp.,Cardamine,Brassicaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Carduus spp.,Carduus,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,NA,Terrestrial,Terrestrial
Carex appressa,Carex,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral margin,Riparian
Carex bichenoviana,Carex,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Carex breviculmis,Carex,Cyperaceae,native,sedge/rush,Fringing_low,NO,ATe,KM,Littoral,Riparian
Carex fascicularis,Carex,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Carex gaudichaudiana,Carex,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Carex inversa,Carex,Cyperaceae,native,sedge/rush,Fringing_high,NO,Tda,KM,Littoral margin,Riparian
Carex polyantha,Carex,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Carex spp.,Carex,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Carex tereticaulis,Carex,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Cassinia aculeata subsp. aculeata,Cassinia,Asteraceae,native,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Cenchrus clandestinus,Cenchrus,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Centaurium erythraea,Centaurium,Gentianaceae,exotic,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Centella cordifolia,Centella,Apiaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Centipeda cunninghamii,Centipeda,Asteraceae,native,forb,Fringing_low,NO,ATl,Campbell 2014,Littoral,Riparian
Cerastium glomeratum s.l.,Cerastium,Caryophyllaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Cerastium spp.,Cerastium,Caryophyllaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Ceratophyllum demersum,Ceratophyllum,Ceratophyllaceae,native,forb,Aquatic,YES,Sk,KM,Aquatic,Aquatic
Characeae spp.,unknown,Characeae,native,algae,Aquatic,YES,Sr or Sk,Casanova 2011,Aquatic,Aquatic
Chenopodium album,Chenopodium,Chenopodiaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Chenopodium spp.,Chenopodium,Chenopodiaceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Chloris truncata,Chloris,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Chorizandra australis,Chorizandra,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Chorizandra enodis,Chorizandra,Cyperaceae,native,sedge/rush,Emergent,YES,Tdr,KM,Littoral,Riparian
Chrysocephalum apiculatum s.l.,Chrysocephalum,Asteraceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
